City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
2068110,kununurra,AU,1644099994,-15.7667,128.7333,76.98,100,100,3.44
1861280,itoman,JP,1644100115,26.1247,127.6694,57.22,54,20,16.11
2012593,zeya,RU,1644100042,53.75,127.2667,-4.72,86,97,4.07
1835848,seoul,KR,1644099904,37.5683,126.9778,22.44,76,0,1.14
1688696,san policarpo,PH,1644100109,12.1791,125.5072,80.04,75,100,17.45
1651810,airai,TL,1644100013,-8.9266,125.4092,60.8,91,93,1.5
1862505,hirara,JP,1644100000,24.8,125.2833,60.66,67,75,17.27
2034600,taikang,CN,1644100075,46.8333,124.4167,-8.05,94,83,4.54
1701054,marawi,PH,1644100088,7.9986,124.2928,65.64,91,11,1.45
1958535,maranding,PH,1644100003,7.9248,123.7715,75.47,87,56,5.08
2012530,zhigansk,RU,1644100074,66.7697,123.3711,-26.63,98,100,5.95
1714733,dingle,PH,1644100123,10.9995,122.6711,74.28,84,92,10.6
1715015,dicabisagan,PH,1644100033,17.0818,122.4157,73.13,89,94,9.48
1795632,shenjiamen,CN,1644100095,29.9576,122.298,39.25,64,44,11.97
2071860,esperance,AU,1644099815,-33.8667,121.9,66.04,68,5,17.65
1644932,ende,ID,1644100023,-8.8432,121.6623,77.56,88,63,5.57
1687894,santa rosa,PH,1644099642,14.3122,121.1114,78.78,72,94,14.58
2027806,amazar,RU,1644100121,53.858,120.875,-6.34,93,96,4.21
1695180,simbahan,PH,1644100045,6.3032,120.5836,81.36,80,98,14.45
1730272,araceli,PH,1644100090,10.5529,119.9913,79.68,80,100,25.46
1696188,palauig,PH,1644100076,15.435,119.9045,76.44,72,81,6.6
1629974,rantepao,ID,1644100034,-2.9701,119.8978,66.58,95,99,2.15
1644605,galesong,ID,1644100023,-5.3166,119.3661,75.22,84,100,6.4
1636806,majene,ID,1644100088,-3.5403,118.9707,77.02,86,98,5.17
2035707,mujiayingzi,CN,1644100106,42.1167,118.7833,6.71,73,0,8.01
1789289,dayong,CN,1644100091,25.0209,118.2898,53.28,81,98,2.95
2025630,chara,RU,1644099962,56.9064,118.2631,-18.58,83,16,1.48
2021618,krasnokamensk,RU,1644100066,50.0979,118.0369,-11.0,93,99,4.29
1808931,hangu,CN,1644100084,39.2489,117.7892,26.64,56,4,7.07
2015913,suntar,RU,1644100053,62.1444,117.6319,-9.26,100,96,4.05
2012780,zabaykalsk,RU,1644100067,49.6333,117.3167,-8.21,98,86,6.8
2062276,roebourne,AU,1644100043,-20.7833,117.1333,83.34,76,64,6.71
6620339,karratha,AU,1644100029,-20.7377,116.8463,83.61,74,74,7.67
1816670,pekin,CN,1644099978,39.9075,116.3972,30.09,37,29,5.44
2063523,perth,AU,1644099931,-31.9333,115.8333,73.09,85,75,4.61
2075265,busselton,AU,1644099754,-33.65,115.3333,66.04,90,18,6.85
