City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
6355222,yulara,AU,1643758586,-25.2406,130.9889,20.91,83,100,6.17
2039557,khasan,RU,1643759307,42.4308,130.6434,-7.79,52,0,8.42
2016680,shirokiy,RU,1643759295,49.758,129.523,-28.05,99,30,2.12
1842966,kijang,KR,1643759310,35.2442,129.2139,-2.15,51,44,1.94
2015306,tiksi,RU,1643758659,71.6872,128.8694,-23.98,97,100,3.07
1863997,fukue,JP,1643759281,32.6881,128.8419,4.2,81,75,2.06
1856068,nago,JP,1643758811,26.5881,127.9761,18.47,71,97,5.11
1624041,ternate,ID,1643759263,0.8,127.4,26.82,72,99,2.2
2020591,magdagachi,RU,1643759249,53.45,125.8,-21.28,78,12,3.15
1651810,airai,TL,1643758687,-8.9266,125.4092,19.67,68,61,1.6
1730622,anito,PH,1643759343,12.4497,125.2886,25.44,90,92,4.69
1862505,hirara,JP,1643759281,24.8,125.2833,18.92,94,75,3.6
2012530,zhigansk,RU,1643758790,66.7697,123.3711,-33.03,99,90,4.21
1714733,dingle,PH,1643758722,10.9995,122.6711,25.24,87,98,4.15
1640972,katobu,ID,1643759228,-4.9408,122.5276,26.9,76,100,0.89
2071860,esperance,AU,1643758452,-33.8667,121.9,17.91,54,39,7.87
1716854,cordon,PH,1643759325,16.6744,121.4658,21.49,86,75,1.14
1687894,santa rosa,PH,1643759260,14.3122,121.1114,26.59,73,64,4.93
1805757,jimo,CN,1643759292,36.3897,120.4622,-7.12,79,100,1.0
1695065,panlaitan,PH,1643759294,12.1191,119.8486,26.98,78,100,4.45
2015913,suntar,RU,1643759273,62.1444,117.6319,-34.03,99,92,1.52
1691872,ransang,PH,1643759344,8.9603,117.5828,26.24,79,94,1.63
2062276,roebourne,AU,1643759247,-20.7833,117.1333,29.25,74,99,4.85
6620339,karratha,AU,1643758661,-20.7377,116.8463,29.13,73,96,5.42
1733432,kota kinabalu,MY,1643759217,5.9749,116.0724,25.99,83,20,3.09
2075265,busselton,AU,1643758445,-33.65,115.3333,18.38,55,53,8.58
1650064,tabat,ID,1643759312,-2.635,115.2274,25.62,83,99,0.43
1645528,denpasar,ID,1643759261,-8.65,115.2167,26.81,83,20,1.54
1801582,macheng,CN,1643759259,31.1783,115.0319,2.15,82,100,1.01
2033196,zhangjiakou,CN,1643759102,40.81,114.8794,-12.57,56,0,2.05
2070998,geraldton,AU,1643759085,-28.7667,114.6,31.23,23,46,12.86
1784543,zhifang,CN,1643759318,30.35,114.3167,1.99,92,100,2.16
1819729,victoria,HK,1643758466,22.2855,114.1577,16.25,94,100,0.45
2017155,saskylakh,RU,1643758662,71.9167,114.0833,-33.37,100,53,0.79
2074865,carnarvon,AU,1643758723,-24.8667,113.6333,24.04,88,100,3.09
1621313,ambulu,ID,1643759327,-8.345,113.6058,25.62,82,47,1.09
2032614,baruun-urt,MN,1643758957,46.6806,113.2792,-24.67,96,6,2.41
1809858,guangzhou,CN,1643759236,23.1167,113.25,7.97,82,99,2.93
1793511,taiyuan,CN,1643759217,37.8694,112.5603,-14.08,72,0,1.0
2014624,udachnyy,RU,1643759056,66.4167,112.4,-37.73,100,59,0.84
8079926,labuhan,ID,1643759006,-6.8844,112.2051,25.7,85,80,2.18
2036892,hohhot,CN,1643759160,40.8106,111.6522,-20.84,71,0,1.0
1784554,zhicheng,CN,1643759335,30.2956,111.5047,3.07,75,100,2.61
2027296,aykhal,RU,1643759309,66.0,111.5,-30.07,100,9,1.15
1735634,kuching,MY,1643759249,1.55,110.3333,24.12,100,20,0.51
1650434,bambanglipuro,ID,1643759216,-7.95,110.2833,17.0,79,61,1.56
1814435,dafeng,CN,1643759316,23.4517,108.5881,7.25,87,100,2.51
2012956,yerbogachen,RU,1643759254,61.2767,108.0108,-35.46,100,40,0.66
1580240,hue,VN,1643759197,16.4667,107.6,18.06,94,75,2.57
1562414,vung tau,VN,1643759033,10.346,107.0843,25.33,79,42,7.7
1830377,lumphat,KH,1643759241,13.4878,106.9816,23.34,68,64,3.31
1786657,yinchuan,CN,1643758803,38.4681,106.2731,-8.55,22,1,0.74
1817968,anshun,CN,1643759257,26.25,105.9333,-1.78,93,100,3.69
1816751,beidao,CN,1643759331,34.5686,105.8933,-6.35,95,100,0.25
1566319,thai nguyen,VN,1643759290,21.5928,105.8442,10.88,78,100,0.95
1568510,rach gia,VN,1643759347,10.0167,105.0833,21.97,87,74,3.57
1831125,kampong thum,KH,1643759218,12.7111,104.8887,23.1,84,42,2.01
1803936,wuwei,CN,1643759304,37.9281,102.6414,-7.65,41,60,1.43
2022572,khatanga,RU,1643758584,71.9667,102.5,-38.57,99,21,1.07
1649150,bengkulu,ID,1643758446,-3.8004,102.2655,23.49,81,100,2.31
1789647,xichang,CN,1643758798,27.8964,102.2634,0.13,95,100,2.11
1606386,sattahip,TH,1643759346,12.6664,100.9007,25.55,100,20,1.54
1633419,padang,ID,1643758679,-0.9492,100.3543,23.03,84,100,2.15
1735106,georgetown,MY,1643758547,5.4112,100.3354,26.96,89,20,0.89
1606983,rong kwang,TH,1643759229,18.339,100.3174,18.92,84,61,0.59
1503037,kodinsk,RU,1643759231,58.6881,99.1844,-25.52,100,89,1.28
1501377,kungurtug,RU,1643759257,50.5994,97.5228,-29.12,99,80,0.65
1510689,baykit,RU,1643759278,61.67,96.37,-24.52,100,98,0.49
1214488,meulaboh,ID,1643758699,4.1363,96.1285,23.94,87,86,1.62
1214026,sabang,ID,1643758720,5.8933,95.3214,26.89,75,38,2.26
1257771,saiha,IN,1643759341,22.4833,92.9667,10.42,77,48,1.56
1259385,port blair,IN,1643758716,11.6667,92.75,21.02,94,40,1.03
1515029,ulaangom,MN,1643759298,49.9811,92.0667,-31.02,88,88,1.41
1538641,kedrovyy,RU,1643759219,56.1667,91.8167,-22.3,92,100,1.49
1498283,mugur-aksy,RU,1643759277,50.35,90.5,-22.27,86,79,1.91
1271631,gangtok,IN,1643759339,27.3333,88.6167,0.38,76,30,2.77
1529651,altay,CN,1643759311,47.8667,88.1167,-14.03,83,97,2.38
1529376,korla,CN,1643758730,41.7597,86.1469,-5.69,49,11,1.05
1517060,zaysan,KZ,1643759277,47.4667,84.8667,-18.18,92,66,1.34
1525490,belousovka,KZ,1643759305,50.1339,82.5239,-25.53,84,100,1.0
1502073,krasnoselkup,RU,1643759292,65.7,82.4667,-26.28,100,79,2.15
1283285,jumla,NP,1643758825,29.2747,82.1838,0.53,36,0,2.18
